湖南台,#genre#
湖南爱晚,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZjZG5leF9pZD1xcV9waG9uZV9saXZlJmNocz0mZGVmPTEmcz00MjZmYjcyNjdmM2M4NzliNTUxNDJkMzYwOGRjNzQ1MSZ1aWQ9JnV1aWQ9NmM1NDEwMzNjNjI0MjY4NGMyODg4NTMzZjE1OGUxMmYtNmEwZTI2Mzcmdj0yJmFzPTAmZXM9MTc2OTY0MTAzMw,,/HNGGMPP360.m3u8
湖南都市,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZjZG5leF9pZD1xcV9waG9uZV9saXZlJmNocz0mZGVmPTEmcz1hYTM0ZWUyMzA3ZTI5NDJlN2YwYjQ1MzdlMjMxZjhiMyZ1aWQ9JnV1aWQ9ODllOTkxZmQ4NmFhMGIwOTQ3Mzk0ZmUwZjY0ODcyNzYtNmEwZTI2Mzcmdj0yJmFzPTAmZXM9MTc2OTYzNDA0Mg,,/HNDSMPP360.m3u8
湖南娱乐频道,http://phonehwei.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZjZG5leF9pZD1od19waG9uZSZjaHM9JmRlZj0xJnM9YTg3ZmFjYmMyM2ZkNjk4NjlkODU3NWI4NjlkOTM5ODcmdWlkPSZ1dWlkPTMzZTQ2OGU3Nzg2YTA0ZjE1MWMwOWRkNzI5OGViNDhkLTZhMGUyNjM3JnY9MiZhcz0wJmVzPTE3Njk2NDQ4MzE,/HNYLMPP360.m3u8
金鹰卡通,http://phonehwei.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZjZG5leF9pZD1od19waG9uZSZjaHM9JmRlZj0xJnM9MGU3NWRlYmI1MzJlYmE0NjdjNTMzOTZlNTQ2N2YxYjMmdWlkPSZ1dWlkPThhN2ZlY2M3NTA2Mjc4MDVjYTBmZGFhYjQ5OTYzYjgwLTZhMGUyNjM3JnY9MiZhcz0wJmVzPTE3Njk2MjQ1NTY,/JYKTMPP360.m3u8
湖南国际频道,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZjZG5leF9pZD1xcV9waG9uZV9saXZlJmNocz0mZGVmPTEmcz0xN2RlMGNjODE4OTc3YWNiZjlmMjg2M2VjOTcxOGY3ZiZ1aWQ9JnV1aWQ9NmFiOTI3NmE0MDA2NjE3NjU3NmM2NjY2ODJmY2ZiZGYtNmEwZTI2Mzcmdj0yJmFzPTAmZXM9MTc2OTYyNjY3NA,,/HNGJMPP360.m3u8
湖南电视剧,http://phonehwei.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZjZG5leF9pZD1od19waG9uZSZjaHM9JmRlZj0xJnM9ZmE0NTE4YWY3MDg0ZWExOTBhMmE5OGYyMjBhNTQzNzgmdWlkPSZ1dWlkPWFmZjgyYmE1YTI5ZTEyYmY1YjRkYzU0N2Q2Y2ZkNDFmLTZhMGUyNjM3JnY9MiZhcz0wJmVzPTE3Njk2NDQ5MzE,/HNDSJMPP360.m3u8
长沙新闻频道,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwNi4xNC4zOC41NSZ0ZXJtPTUmcWlkPSZjZG5leF9pZD1xcV9waG9uZV9saXZlJmNocz0mZGVmPTEmcz0zYTBlZTlkOTcxMTgwMmQzMDE2YjAwZGM1YWQ0YWJkYyZ1aWQ9JnV1aWQ9ZmI1YmJhZDZmMDYyNGQ2MzVhNmE5YWY5OTRiMTc1MWMtNmEwZTI2Mzcmdj0yJmFzPTAmZXM9MTc2OTYyNjY4Nw,,/CSXWMPP360.m3u8
湖南卫视,http://120.196.232.43:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226698/1.m3u8

港澳台,#genre#
